;;Winner Rank Points;prev_rank;perc;;;
2017;Alexander Ritschard;16;(null);(null);;;
2017;Alexander Sarkissian;3284;6130;-46.43%;;;
2017;Alexander Vasilenko;156;330;-52.73%;;;
2017;Alexander Ward;1220;1959;-37.72%;;;
2017;Alexander Weis;12;(null);(null);;;
2017;Alexander Zhurbin;157;399;-60.65%;;;
2017;Alexander Zverev;73870;31907;131.52%;;;
2017;Alexandr Dolgopolov;16928;5040;235.87%;;;
2017;Alexandr Igoshin;49;326;-84.97%;;;
2017;Alexandra Bozovic;151;3;4933.33%;;;
2017;Alexandra Cadantu;7249;3908;85.49%;;;
2017;Alexandra Dulgheru;3728;1758;112.06%;;;
2017;Alexandra Ferreira Da Silva;0;(null);(null);;;
2017;Alexandra Grinchishina;59;90;-34.44%;;;
2017;Alexandra Maria Staiculescu;0;(null);(null);;;
2017;Alexandra Morozova;87;316;-72.47%;;;
2017;Alexandra Mueller;110;95;15.79%;;;
2017;Alexandra Panova;1321;5803;-77.24%;;;
2017;Alexandra Perper;1572;2604;-39.63%;;;
2017;Alexandra Pisareva;0;3;-100.00%;;;
2017;Alexandra Riley;55;81;-32.10%;;;
2017;Alexandra Sanford;28;67;-58.21%;;;
2017;Alexandra Stevenson;62;162;-61.73%;;;
2017;Alexandra Vagramov;0;(null);(null);;;
2017;Alexandra Walters;84;110;-23.64%;;;
2017;Alexandre Muller;713;188;279.26%;;;
2017;Alexandre Penaud;6;13;-53.85%;;;
2017;Alexandre Sidorenko;404;2556;-84.19%;;;
2017;Alexandre Tsuchiya;6;114;-94.74%;;;
2017;Alexei Popyrin;121;(null);(null);;;
2017;Alexey Vatutin;5747;3614;59.02%;;;
2017;Alexios Halebian;231;221;4.52%;;;
2017;Alexis Galarneau;0;6;-100.00%;;;
2017;Alexis Gautier;4;16;-75.00%;;;
2017;Aliaksandra Sasnovich;18313;12154;50.67%;;;
2017;Alice Bacquie;43;809;-94.68%;;;
2017;Alice Balducci;99;1709;-94.21%;;;
2017;Alice Garcia;0;(null);(null);;;
2017;Alice Gillan;14;0;(null);;;
2017;Alice Matteucci;1496;1273;17.52%;;;
2017;Alice Moroni;0;(null);(null);;;
2017;Alice Rame;515;(null);(null);;;
2017;Alice Tubello;0;(null);(null);;;
2017;Alice Zapolla;0;(null);(null);;;
2017;Alicia Barnett;296;5;5820.00%;;;
2017;Alicia Herrero Linana;48;14;242.86%;;;
2017;Alicia Smith;11;(null);(null);;;
2017;Alina Silich;1668;112;1389.29%;;;
2017;Alina Tsyurpalevych;0;(null);(null);;;
2017;Aliona Bolsova;201;(null);(null);;;
2017;Alisa Kleybanova;496;(null);(null);;;
2017;Alise Cernecka;0;(null);(null);;;
2017;Alison Bai;539;1150;-53.13%;;;
2017;Alison Riske;20442;33545;-39.06%;;;
2017;Alison Van Uytvanck;18998;19793;-4.02%;;;
2017;Alize Cornet;25470;27001;-5.67%;;;
2017;Alize Lim;3789;8461;-55.22%;;;
2017;Aljaz Bedene;20634;12755;61.77%;;;
2017;Alla Kudryavtseva;2251;7651;-70.58%;;;
2017;Allie Kiick;337;(null);(null);;;
2017;Almudena Sanz Llaneza Fernandez;3;18;-83.33%;;;
2017;Alona Bondarenko;0;0;(null);;;
2017;Alona Fomina;854;507;68.44%;;;
2017;Altug Celikbilek;591;110;437.27%;;;
2017;Alvaro Lopez San Martin;129;(null);(null);;;
2017;Amal Sultanbekov;0;(null);(null);;;
2017;Amanda Anisimova;3000;0;(null);;;
2017;Amanda Carreras;2129;4090;-47.95%;;;
2017;Amanda Rodgers;73;0;(null);;;
2017;Amandine Cazeaux;109;157;-30.57%;;;
2017;Amandine Hesse;3977;8263;-51.87%;;;
2017;Amelie Boy;0;0;(null);;;
2017;Amelie Carolin Kurpiers;0;(null);(null);;;
2017;Amelie Intert;87;30;190.00%;;;
2017;Amina Anshba;1621;339;378.17%;;;
2017;Amine Ahouda;13;(null);(null);;;
2017;Amir Weintraub;229;5803;-96.05%;;;
2017;Amra Sadikovic;6232;7136;-12.67%;;;
2017;Amy Zhu;59;70;-15.71%;;;
2017;Ana Bianca Mihaila;625;936;-33.23%;;;
2017;Ana Biskic;212;0;(null);;;
2017;Ana Bogdan;15112;10987;37.54%;;;
2017;Ana Filipa Santos;3;(null);(null);;;
2017;Ana Geller;0;(null);(null);;;
2017;Ana Giraldi Requena;3;(null);(null);;;
2017;Ana Konjuh;27231;24917;9.29%;;;
2017;Ana Lantigua De La Nuez;0;(null);(null);;;
2017;Ana Luiza Cruz;0;(null);(null);;;
2017;Ana Sofia Sanchez;3138;2177;44.14%;;;
2017;Ana Veselinovic;2469;1785;38.32%;;;
2017;Ana Vrljic;1198;1937;-38.15%;;;
2017;Anais Defossez;0;0;(null);;;
2017;Anastasia Bursa;0;(null);(null);;;
2017;Anastasia Chikalkina;16;96;-83.33%;;;
2017;Anastasia Detiuc;383;21;1723.81%;;;
2017;Anastasia Evgenyevna Nefedova;498;198;151.52%;;;
2017;Anastasia Frolova;2498;250;899.20%;;;
2017;Anastasia Gasanova;1031;2226;-53.68%;;;
2017;Anastasia Grymalska;3180;4526;-29.74%;;;
2017;Anastasia Iamachkine;0;(null);(null);;;
2017;Anastasia Kharitonova;0;0;(null);;;
2017;Anastasia Kulikova;0;(null);(null);;;
2017;Anastasia Pavlyuchenkova;80120;44115;81.62%;;;
2017;Anastasia Pivovarova;999;6380;-84.34%;;;
2017;Anastasia Potapova;1807;0;(null);;;
2017;Anastasia Pribylova;2011;1862;8.00%;;;
2017;Anastasia Rodionova;138;180;-23.33%;;;
2017;Anastasia Smirnova;7;25;-72.00%;;;
2017;Anastasia Sukhotina;0;(null);(null);;;
2017;Anastasia Vdovenco;771;1775;-56.56%;;;
2017;Anastasia Veselova;0;0;(null);;;
2017;Anastasia Yakimova;3;55;-94.55%;;;
2017;Anastasia Zarytska;2423;377;542.71%;;;
2017;Anastasija Sevastova;56590;25674;120.42%;;;
2017;Anastasiya Fedoryshyn;108;267;-59.55%;;;
2017;Anastasiya Klymenko;0;0;(null);;;
2017;Anastasiya Komardina;3438;8724;-60.59%;;;
2017;Anastasiya Poplavska;0;0;(null);;;
2017;Anastasiya Shoshyna;983;1580;-37.78%;;;
2017;Anastasiya Tursunova;0;(null);(null);;;
2017;Anastasiya Vasylyeva;2444;1742;40.30%;;;
2017;Anca Craciun;0;0;(null);;;
2017;Anda Karanusic;5;4;25.00%;;;
2017;Andie K Daniell;11;0;(null);;;
2017;Andjela Jocovic;0;(null);(null);;;
2017;Andre Begemann;0;(null);(null);;;
2017;Andre Ghem;926;6988;-86.75%;;;
2017;Andre Goransson;42;0;(null);;;
2017;Andre Miele;26;201;-87.06%;;;
2017;Andrea Agostina Farulla Di Palma;0;(null);(null);;;
2017;Andrea Arnaboldi;6106;5427;12.51%;;;
2017;Andrea Basso;540;161;235.40%;;;
2017;Andrea Collarini;1565;3143;-50.21%;;;
2017;Andrea Gamiz;5685;2569;121.29%;;;
2017;Andrea Guerrieri;6;(null);(null);;;
2017;Andrea Hlavackova;289;3478;-91.69%;;;
2017;Andrea Ka;668;318;110.06%;;;
2017;Andrea Lazaro Garcia;0;(null);(null);;;
2017;Andrea Pellegrino;730;248;194.35%;;;
2017;Andrea Petkovic;19330;28030;-31.04%;;;
2017;Andrea Raaholdt;0;42;-100.00%;;;
2017;Andrea Renee Villarreal;150;0;(null);;;
2017;Andrea Sauco Roque;0;(null);(null);;;
2017;Andrea Vavassori;308;182;69.23%;;;
2017;Andreas Haider Maurer;329;(null);(null);;;
2017;Andreas Mies;10;17;-41.18%;;;
2017;Andreas Seppi;11228;11665;-3.75%;;;
2017;Andreas Siljestrom;0;(null);(null);;;
2017;Andreea Amalia Rosca;416;406;2.46%;;;
2017;Andreea Ghitescu;114;250;-54.40%;;;
2017;Andreea Prisacariu;10;16;-37.50%;;;
2017;Andrei Vasilevski;63;569;-88.93%;;;
2017;Andreia Beberechi;0;(null);(null);;;
2017;Andreina Pino;0;(null);(null);;;
2017;Andrej Martin;10642;14555;-26.88%;;;
2017;Andres Molteni;207;427;-51.52%;;;
2017;Andressa Cristina Souza;0;(null);(null);;;
2017;Andrew Harris;135;(null);(null);;;
2017;Andrew Whittington;4223;4414;-4.33%;;;
2017;Andrey Golubev;676;5288;-87.22%;;;
2017;Andrey Kuznetsov;10111;14518;-30.36%;;;
2017;Andrey Rublev;16123;11261;43.18%;;;
2017;Andriej Kapas;446;1072;-58.40%;;;
2017;Andrina Peer;12;0;(null);;;
2017;Andy Murray;154010;307535;-49.92%;;;
2017;Aneta Kladivova;145;0;(null);;;
2017;Aneta Laboutkova;0;0;(null);;;
2017;Anett Kontaveit;35769;13687;161.34%;;;
2017;Anette Munozova;116;151;-23.18%;;;
2017;Anfisa Danilchenko;0;(null);(null);;;
2017;Angela Fita Boluda;20;0;(null);;;
2017;Angela Juarez Blanco;0;(null);(null);;;
2017;Angeles Moreno Barranquero;0;(null);(null);;;
2017;Angelica Moratelli;652;1913;-65.92%;;;
2017;Angelina Gabueva;45;28;60.71%;;;
2017;Angelina Zhuravleva;169;523;-67.69%;;;
2017;Angelique Kerber;143660;340845;-57.85%;;;
2017;Angelique Svinos;228;123;85.37%;;;
2017;Anhelina Kalinina;5627;139;3948.20%;;;
2017;Anhelina Kalita;0;(null);(null);;;
2017;Anhzelika Isaeva;65;167;-61.08%;;;
2017;Ani Mijacika;578;143;304.20%;;;
2017;Ani Vangelova;317;462;-31.39%;;;
2017;Anil Yuksel;42;66;-36.36%;;;
2017;Ankita Raina;3984;4383;-9.10%;;;
2017;Ann Li;94;0;(null);;;
2017;Anna Blinkova;11916;3978;199.55%;;;
2017;Anna Bondar;537;2316;-76.81%;;;
2017;Anna Bowtell;0;(null);(null);;;
2017;Anna Bright;0;(null);(null);;;
2017;Anna Danilina;84;(null);(null);;;
2017;Anna Gabric;63;16;293.75%;;;
2017;Anna Giulia Remondina;949;1590;-40.31%;;;
2017;Anna Kalinskaya;11491;5239;119.34%;;;
2017;Anna Karolina Schmiedlova;10137;9546;6.19%;;;
2017;Anna Klasen;32;160;-80.00%;;;
2017;Anna Kubareva;64;0;(null);;;
2017;Anna Laguza;0;0;(null);;;
2017;Anna Lena Friedsam;40;18471;-99.78%;;;
2017;Anna Lena Neuwirth;0;(null);(null);;;
2017;Anna Loughlan;0;(null);(null);;;
2017;Anna Makhorkina;4;81;-95.06%;;;
2017;Anna Mamalat;0;(null);(null);;;
2017;Anna Maria Procacci;17;55;-69.09%;;;
2017;Anna Morgina;2782;3883;-28.35%;;;
2017;Anna Novikova;0;(null);(null);;;
2017;Anna Pribylova;173;156;10.90%;;;
2017;Anna Siskova;11;0;(null);;;
2017;Anna Slovakova;9;104;-91.35%;;;
2017;Anna Stefani;0;(null);(null);;;
2017;Anna Tatishvili;243;12342;-98.03%;;;
2017;Anna Turati;17;107;-84.11%;;;
2017;Anna Turco;0;0;(null);;;
2017;Anna Ukolova;84;0;(null);;;
2017;Anna Ureke;30;(null);(null);;;
2017;Anna Zaja;5602;2754;103.41%;;;
2017;Anne Knuettel;0;(null);(null);;;
2017;Anne Schaefer;0;7915;-100.00%;;;
2017;Annika Beck;7477;25335;-70.49%;;;
2017;Ante Pavic;2103;2608;-19.36%;;;
2017;Antoine Bellier;128;156;-17.95%;;;
2017;Antoine Escoffier;700;283;147.35%;;;
2017;Antoine Hoang;171;574;-70.21%;;;
2017;Antoine Leduc;1;(null);(null);;;
2017;Anton Zaitsev;63;498;-87.35%;;;
2017;Antonia Lottner;7862;4045;94.36%;;;
2017;Antonio Massara;88;247;-64.37%;;;
2017;Antonio Ruiz Rosales;0;0;(null);;;
2017;Antonio Sancic;5;93;-94.62%;;;
2017;Antso Rakotondramanga;0;(null);(null);;;
2017;Anvit Bendre;1;(null);(null);;;
2017;Ao Gai;333;723;-53.94%;;;
2017;Apichaya Runglerdkriangkrai;0;(null);(null);;;
2017;Aqeel Khan;0;(null);(null);;;
2017;Arabela Fernandez Rabener;81;259;-68.73%;;;
2017;Arabella Koller;0;(null);(null);;;
2017;Arantxa Rus;11393;8389;35.81%;;;
2017;Arata Onozawa;15;60;-75.00%;;;
2017;Ariana Rahmanparast;0;(null);(null);;;
2017;Arianne Hartono;0;0;(null);;;
2017;Arina Folts;124;219;-43.38%;;;
2017;Arina Gabriela Vasilescu;24;(null);(null);;;
2017;Arina Rodionova;11490;6689;71.77%;;;
2017;Arlinda Rushiti;259;0;(null);;;
2017;Aron Hiltzik;66;85;-22.35%;;;
2017;Arsenije Zlatanovic;1;(null);(null);;;
2017;Artem Smirnov;774;872;-11.24%;;;
2017;Artem Strokan;1;(null);(null);;;
2017;Artem Vu;0;(null);(null);;;
2017;Arthur De Greef;11620;13990;-16.94%;;;
2017;Aryna Sabalenka;18571;8377;121.69%;;;
2017;Ashleigh Barty;32773;810;3946.05%;;;
2017;Ashley Kratzer;1144;316;262.03%;;;
2017;Ashley Lahey;116;0;(null);;;
2017;Ashley Weinhold;74;38;94.74%;;;
2017;Asia Muhammed;10281;8128;26.49%;;;
2017;Aslan Karatsev;1833;5162;-64.49%;;;
2017;Aslina Chua;0;(null);(null);;;
2017;Astra Sharma;622;161;286.34%;;;
2017;Astrid Wanja Brune Olsen;18;10;80.00%;;;
2017;Attila Balazs;3854;0;(null);;;
2017;Audrey Albie;2578;554;365.34%;;;
2017;August Holmgren;2;(null);(null);;;
2017;Austin Krajicek;5302;5662;-6.36%;;;
2017;Axana Mareen;0;(null);(null);;;
2017;Axel Geller;0;0;(null);;;
2017;Axel Michon;3219;4908;-34.41%;;;
2017;Ayaka Okuno;949;1570;-39.55%;;;
2017;Ayano Shimizu;4372;768;469.27%;;;
2017;Ayed Zatar;0;(null);(null);;;
2017;Ayla Aksu;7474;3875;92.88%;;;
2017;Aymet Uzcategui;168;111;51.35%;;;
2017;Ayumi Koshiishi;12;0;(null);;;
2017;Ayumi Miyamoto;4;(null);(null);;;
2017;Ayumi Morita;0;(null);(null);;;
2017;Aza Petrova;0;(null);(null);;;
2017;Aziz Dadabaev;0;(null);(null);;;
2017;Azradeniz Comlek;0;0;(null);;;
2017;Barbara Bonic;298;271;9.96%;;;
2017;Barbara Gatica;2771;349;693.98%;;;
2017;Barbara Haas;11337;13328;-14.94%;;;
2017;Barbara Kotelesova;78;476;-83.61%;;;
2017;Barbora Krejcikova;7687;5155;49.12%;;;
2017;Barbora Matusova;0;(null);(null);;;
2017;Barbora Miklova;109;144;-24.31%;;;
2017;Barbora Stefkova;2962;7889;-62.45%;;;
2017;Barbora Zahlavova Strycova;70820;54160;30.76%;;;
2017;Basak Akbas;3;(null);(null);;;
2017;Basak Eraydin;6882;4632;48.58%;;;
2017;Batyr Sapaev;1;0;(null);;;
2017;Beatrice Gumulya;82;438;-81.28%;;;
2017;Beatrice La Cava;0;(null);(null);;;
2017;Beatrice Stagno;0;(null);(null);;;
2017;Beatrice Torelli;189;(null);(null);;;
2017;Beatriz Haddad Maia;20276;5280;284.02%;;;
2017;Beatriz Paciletti Duarte Da Costa;0;(null);(null);;;
2017;Beibit Zhukayev;0;(null);(null);;;
2017;Belinda Bencic;12547;45454;-72.40%;;;
2017;Belinda Woolcock;165;(null);(null);;;
2017;Ben Mclachlan;2;(null);(null);;;
2017;Ben Patael;115;32;259.38%;;;
2017;Benedetta Ivaldi;0;(null);(null);;;
2017;Benjamin Becker;1877;17248;-89.12%;;;
2017;Benjamin Bonzi;3724;267;1294.76%;;;
2017;Benjamin Hassan;82;(null);(null);;;
2017;Benjamin Lock;162;(null);(null);;;
2017;Benjamin Mitchell;57;1992;-97.14%;;;
2017;Benoit Paire;24570;26399;-6.93%;;;
2017;Berfu Cengiz;942;751;25.43%;;;
2017;Bermet Duvanaeva;0;(null);(null);;;
2017;Bernabe Zapata Miralles;1192;324;267.90%;;;
2017;Bernard Tomic;6581;15150;-56.56%;;;
2017;Bernarda Pera;10750;3488;208.20%;;;
2017;Bethanie Mattek Sands;5698;7082;-19.54%;;;
2017;Betina Tokac;3;(null);(null);;;
2017;Bhuvana Kalva;0;0;(null);;;
2017;Bianca Andreescu;6802;1045;550.91%;;;
2017;Bianca Botto;0;(null);(null);;;
2017;Bianca Turati;484;777;-37.71%;;;
2017;Bianka Bekefi;144;422;-65.88%;;;
2017;Bibiane Schoofs;5593;819;582.91%;;;
2017;Bjorn Fratangelo;17682;18754;-5.72%;;;
2017;Blake Ellis;32;3;966.67%;;;
2017;Blake Mott;2858;648;341.05%;;;
2017;Blanca Puig Caballero;0;(null);(null);;;
2017;Blaz Kavcic;22768;3495;551.44%;;;
2017;Blaz Rola;8200;7784;5.34%;;;
2017;Bogdan Bobrov;8;(null);(null);;;
2017;Bojana Marinkovic;1691;568;197.71%;;;
2017;Bojana Markovic;95;30;216.67%;;;
2017;Borna Coric;13493;14298;-5.63%;;;
2017;Borna Gojo;206;(null);(null);;;
2017;Botic van de Zandschulp;385;20;1825.00%;;;
2017;Boy Westerhof;97;17;470.59%;;;
2017;Bradley Klahn;2695;18;14872.22%;;;
2017;Bradley Mousley;1985;452;339.16%;;;
2017;Brandon Holt;13;(null);(null);;;
2017;Brayden Schnur;4279;74;5682.43%;;;
2017;Breana Stampfli;0;(null);(null);;;
2017;Brenda Njuki;516;722;-28.53%;;;
2017;Brian Baker;203;1707;-88.11%;;;
2017;Brianna Morgan;184;0;(null);;;
2017;Brindtha Ramasamy;0;(null);(null);;;
2017;Britt Geukens;837;923;-9.32%;;;
2017;Bruno Britez;0;(null);(null);;;
2017;Bruno Santanna;224;537;-58.29%;;;
2017;Brydan Klein;4120;3803;8.34%;;;
2017;Brynn Boren;72;41;75.61%;;;
2017;Bunyawi Thamchaiwat;878;1389;-36.79%;;;
2017;Cagla Buyukakcay;6750;14082;-52.07%;;;
2017;Caio Zampieri;823;3829;-78.51%;;;
2017;Caitlin Whoriskey;656;683;-3.95%;;;
2017;Calin Manda;5;(null);(null);;;
2017;Calum Puttergill;40;15;166.67%;;;
2017;Calvin Hemery;6178;3628;70.29%;;;
2017;Camelia Elena Hristea;9;122;-92.62%;;;
2017;Cameron Norrie;10388;2387;335.19%;;;
2017;Camila Giangreco Campiz;1810;486;272.43%;;;
2017;Camila Giorgi;15394;24072;-36.05%;;;
2017;Camila Romero;54;0;(null);;;
2017;Camila Tumosa;0;4;-100.00%;;;
2017;Camilla Abbate;0;(null);(null);;;
2017;Camilla Rosatello;3636;601;504.99%;;;
2017;Camilla Scala;2225;852;161.15%;;;
2017;Camille Sireix;6;(null);(null);;;
2017;Camilo Ugo Carabelli;89;(null);(null);;;
2017;Candela Bugnon;0;0;(null);;;
2017;Carina Witthoeft;22456;21389;4.99%;;;
2017;Carla Lucero;247;331;-25.38%;;;
2017;Carla Suarez Navarro;29858;95840;-68.85%;;;
2017;Carlos Berlocq;17249;24633;-29.98%;;;
2017;Carlos Boluda Purkiss;352;65;441.54%;;;
2017;Carlos De La Pena;0;(null);(null);;;
2017;Carlos Eduardo Severino;42;243;-82.72%;;;
2017;Carlos Gomez Herrera;620;44;1309.09%;;;
2017;Carlos Salamanca;93;(null);(null);;;
2017;Carlos Taberner;5758;1083;431.67%;;;
2017;Carlota Molina Megias;0;0;(null);;;
2017;Carlotta Ripa;0;(null);(null);;;
2017;Carol Young Suh Lee;0;(null);(null);;;
2017;Carol Zhao;5338;1148;364.98%;;;
2017;Carole Monnet;0;(null);(null);;;
2017;Carolin Schmidt;0;0;(null);;;
2017;Carolina Meligeni Rodrigues Alves;2611;1353;92.98%;;;
2017;Carolina Zeballos;0;(null);(null);;;
2017;Caroline Dolehide;5895;700;742.14%;;;
2017;Caroline Dunleavy;0;0;(null);;;
2017;Caroline Garcia;81025;52635;53.94%;;;
2017;Caroline Ilowska;7;33;-78.79%;;;
2017;Caroline Romeo;936;2162;-56.71%;;;
2017;Caroline Uebelhoer;460;448;2.68%;;;
2017;Caroline Wozniacki;188315;56589;232.78%;;;
2017;Carson Branstine;0;0;(null);;;
2017;Casper Ruud;10824;1651;555.60%;;;
2017;Cassie Mercer;0;(null);(null);;;
2017;Catalina Pella;4558;3842;18.64%;;;
2017;Catherine Cartan Bellis;19838;17237;15.09%;;;
2017;Catherine Chantraine;388;178;117.98%;;;
2017;Catherine Harrison;20;0;(null);;;
2017;Catherine Leduc;13;(null);(null);;;
2017;Catherine Shulman;0;(null);(null);;;
2017;Caty Mcnally;22;0;(null);;;
2017;Cedrik Marcel Stebe;14114;513;2651.27%;;;
2017;Celine Fritsch;0;(null);(null);;;
2017;Cem Ilkel;1946;1525;27.61%;;;
2017;Cemre Anil;24;14;71.43%;;;
2017;Cengiz Aksu;4;0;(null);;;
2017;Chan Yeong Oh;15;1;1400.00%;;;
2017;Chandril Sood;3;17;-82.35%;;;
2017;Chanel Simmonds;4504;3434;31.16%;;;
2017;Chanelle Van Nguyen;98;117;-16.24%;;;
2017;Chang Liu;938;6093;-84.61%;;;
2017;Chanikarn Silakul;0;(null);(null);;;
2017;Chantal Sauvant;0;(null);(null);;;
2017;Chantal Skamlova;4329;3012;43.73%;;;
2017;Charlotte Petrick;0;0;(null);;;
2017;Charlotte Robillard Millette;222;118;88.14%;;;
2017;Charlotte Roemer;94;200;-53.00%;;;
2017;Charmaine Shi Yi Seah;0;0;(null);;;
2017;Chayanon Kaewsuto;0;(null);(null);;;
2017;Chayenne Ewijk;543;1684;-67.76%;;;
2017;Chelsea Vanhoutte;5;0;(null);;;
2017;Cheng Yu Yu;50;(null);(null);;;
2017;Chengyiyi Yuan;15;0;(null);;;
2017;Chengze Lu;0;(null);(null);;;
2017;Cheong Eui Kim;655;2426;-73.00%;;;
2017;Chi Chi Scholl;4623;1522;203.75%;;;
2017;Chia Jung Chuang;0;(null);(null);;;
2017;Chiara Catini;0;(null);(null);;;
2017;Chiara Frapolli;32;69;-53.62%;;;
2017;Chiara Grimm;826;540;52.96%;;;
2017;Chieh Yu Hsu;3551;1590;123.33%;;;
2017;Chien Hsun Lo;6;(null);(null);;;
2017;Chihiro Muramatsu;1709;343;398.25%;;;
2017;Chihiro Takayama;12;0;(null);;;
2017;Chinatsu Shimizu;0;(null);(null);;;
2017;Ching Wen Hsu;1025;2978;-65.58%;;;
2017;Chiraz Bechri;396;219;80.82%;;;
2017;Chloe Paquet;2997;2153;39.20%;;;
2017;Chompoothip Jandakate;39;0;(null);;;
2017;Christian Harrison;2087;175;1092.57%;;;
2017;Christian Lindell;1686;1360;23.97%;;;
2017;Christian Samuelsson;2;(null);(null);;;
2017;Christina Mchale;31060;35795;-13.23%;;;
2017;Christopher Diaz Figueroa;129;143;-9.79%;;;
2017;Christopher Eubanks;320;41;680.49%;;;
2017;Christopher Heyman;867;137;532.85%;;;
2017;Christopher O'Connell;2908;970;199.79%;;;
2017;Christopher Rungkat;419;514;-18.48%;;;
2017;Chu Huan Yi;0;94;-100.00%;;;
2017;Chuhan Wang;117;137;-14.60%;;;
2017;Cindy Burger;4380;14390;-69.56%;;;
2017;Cindy Castille;21;9;133.33%;;;
