tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,tourney_spectators,tourney_revenue
2019-M-DC-2019-G2-AM-M-MEX-PAR-01,Davis Cup G2 R1: MEX vs PAR,Clay,4,D,44,486,100842.51
2019-M-DC-2019-G2-AM-M-PER-ESA-01,Davis Cup G2 R1: PER vs ESA,Hard,4,D,45,429,89836.34
2019-M-DC-2019-G2-AO-M-NZL-INA-01,Davis Cup G2 R1: NZL vs INA,Hard,4,D,44,422,76121.74
2019-M-DC-2019-G2-AO-M-THA-PHI-01,Davis Cup G2 R1: THA vs PHI,Hard,4,D,45,486,95877.49
2019-M-DC-2019-G2-AO-M-TPE-HKG-01,Davis Cup G2 R1: TPE vs HKG,Hard,4,D,44,358,69340.43
2019-M-DC-2019-G2-EPA-M-DEN-TUR-01,Davis Cup G2 R1: DEN vs TUR,Hard,4,D,43,389,85740.4
2019-M-DC-2019-G2-EPA-M-EGY-SLO-01,Davis Cup G2 R1: EGY vs SLO,Clay,4,D,43,474,96349.95
2019-M-DC-2019-G2-EPA-M-LTU-MAR-01,Davis Cup G2 R1: LTU vs MAR,Clay,4,D,45,354,71981.23
2019-M-DC-2019-G2-EPA-M-NOR-GEO-01,Davis Cup G2 R1: NOR vs GEO,Clay,4,D,43,422,83267.84
2019-M-DC-2019-G2-EPA-M-ROU-ZIM-01,Davis Cup G2 R1: ROU vs ZIM,Hard,4,D,45,426,87724.77
2019-M-DC-2019-G2-EPA-M-RSA-BUL-01,Davis Cup G2 R1: RSA vs BUL,Hard,4,D,43,355,71841.11
2019-M-DC-2019-QLS-M-AUS-BIH-01,Davis Cup QLS R1: AUS vs BIH,Hard,4,D,46,445,87134.42
2019-M-DC-2019-QLS-M-AUT-CHI-01,Davis Cup QLS R1: AUT vs CHI,Clay,4,D,46,419,87638.79
2019-M-DC-2019-QLS-M-BEL-BRA-01,Davis Cup QLS R1: BEL vs BRA,Clay,4,D,46,354,71781.54
2019-M-DC-2019-QLS-M-CAN-SVK-01,Davis Cup QLS R1: CAN vs SVK,Clay,4,D,46,459,96987.09
2019-M-DC-2019-QLS-M-CZE-NED-01,Davis Cup QLS R1: CZE vs NED,Hard,4,D,46,329,68822.6
2019-M-DC-2019-QLS-M-GER-HUN-01,Davis Cup QLS R1: GER vs HUN,Hard,4,D,46,297,64634.41
2019-M-DC-2019-QLS-M-ITA-IND-01,Davis Cup QLS R1: ITA vs IND,Grass,4,D,46,368,69642.88
2019-M-DC-2019-QLS-M-JPN-CHN-01,Davis Cup QLS R1: JPN vs CHN,Hard,4,D,46,475,98630.78
2019-M-DC-2019-QLS-M-KAZ-POR-01,Davis Cup QLS R1: KAZ vs POR,Hard,4,D,46,474,96233.49
2019-M-DC-2019-QLS-M-SRB-UZB-01,Davis Cup QLS R1: SRB vs UZB,Hard,4,D,46,399,78737.18
2019-M-DC-2019-QLS-M-SUI-RUS-01,Davis Cup QLS R1: SUI vs RUS,Hard,4,D,46,483,95051.95
2019-M-DC-2019-QLS-M-SWE-COL-01,Davis Cup QLS R1: SWE vs COL,Clay,4,D,46,446,85703.78
2018-M020,Brisbane,Hard,32,A,47,4154,741338.74
2018-0451,Doha,Hard,32,A,47,4012,693514.18
2018-0891,Pune,Hard,32,A,47,2433,454876.95
2018-0301,Auckland,Hard,32,A,48,2933,697395.19
2018-M001,Sydney,Hard,32,A,48,3123,635311.29
2018-580,Australian Open,Hard,128,G,49,7195,1316125.97
2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,Davis Cup G1 R1: AUT vs BLR,Clay,4,D,50,462,99623.08
2018-M-DC-2018-G1-AM-M-CHI-ECU-01,Davis Cup G1 R1: CHI vs ECU,Clay,4,D,50,356,70575.12
2018-M-DC-2018-G1-AO-M-CHN-NZL-01,Davis Cup G1 R1: CHN vs NZL,Hard,4,D,50,444,86571.21
2018-M-DC-2018-G1-AM-M-COL-BAR-01,Davis Cup G1 R1: COL vs BAR,Hard,4,D,50,461,92112.89
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,Davis Cup G1 R1: DOM vs BRA,Hard,4,D,50,375,75490.36
2018-M-DC-2018-G1-AO-M-KOR-PAK-01,Davis Cup G1 R1: KOR vs PAK,Grass,4,D,50,546,109884.53
2018-M-DC-2018-G1-EPA-M-RSA-ISR-01,Davis Cup G1 R1: RSA vs ISR,Hard,4,D,50,313,61000.56
2018-M-DC-2018-G1-EPA-M-UKR-SWE-01,Davis Cup G1 R1: UKR vs SWE,Hard,4,D,50,344,73249.04
2018-M-DC-2018-WG-M-AUS-GER-01,Davis Cup WG R1: AUS vs GER,Hard,4,D,50,315,66409.35
2018-M-DC-2018-WG-M-CAN-CRO-01,Davis Cup WG R1: CAN vs CRO,Clay,4,D,50,494,93561.13
2018-M-DC-2018-WG-M-FRA-NED-01,Davis Cup WG R1: FRA vs NED,Hard,4,D,50,320,59577.31
2018-M-DC-2018-WG-M-GBR-ESP-01,Davis Cup WG R1: GBR vs ESP,Clay,4,D,50,354,76858.8
2018-M-DC-2018-WG-M-HUN-BEL-01,Davis Cup WG R1: HUN vs BEL,Hard,4,D,50,438,80505.36
2018-M-DC-2018-WG-M-ITA-JPN-01,Davis Cup WG R1: ITA vs JPN,Hard,4,D,50,375,72885.67
2018-M-DC-2018-WG-M-KAZ-SUI-01,Davis Cup WG R1: KAZ vs SUI,Hard,4,D,50,455,94523.61
2018-M-DC-2018-WG-M-USA-SRB-01,Davis Cup WG R1: USA vs SRB,Clay,4,D,50,428,87154.08
2018-M-DC-2018-G2-AM-M-BOL-PER-01,Davis Cup G2 R1: BOL vs PER,Clay,4,D,51,463,97819.54
2018-M-DC-2018-G2-EPA-M-EGY-NOR-01,Davis Cup G2 R1: EGY vs NOR,Hard,4,D,51,323,63376.6
2018-M-DC-2018-G2-AM-M-ESA-URU-01,Davis Cup G2 R1: ESA vs URU,Hard,4,D,51,345,72760.7
2018-M-DC-2018-G2-EPA-M-EST-LTU-01,Davis Cup G2 R1: EST vs LTU,Hard,4,D,51,390,82304.24
2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,Davis Cup G2 R1: GEO vs MAR,Clay,4,D,51,397,73671.0
2018-M-DC-2018-G2-AO-M-IRI-HKG-01,Davis Cup G2 R1: IRI vs HKG,Hard,4,D,51,450,86745.76
2018-M-DC-2018-G2-EPA-M-IRL-DEN-01,Davis Cup G2 R1: IRL vs DEN,Hard,4,D,51,484,92265.8
2018-M-DC-2018-G2-AO-M-LBN-TPE-01,Davis Cup G2 R1: LBN vs TPE,Hard,4,D,51,495,95203.34
2018-M-DC-2018-G2-AO-M-PHI-INA-01,Davis Cup G2 R1: PHI vs INA,Hard,4,D,51,261,51323.97
2018-M-DC-2018-G2-AM-M-PUR-MEX-01,Davis Cup G2 R1: PUR vs MEX,Hard,4,D,51,479,90802.28
2018-M-DC-2018-G2-EPA-M-ROU-LUX-01,Davis Cup G2 R1: ROU vs LUX,Hard,4,D,51,501,102505.08
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,Davis Cup G2 R1: SLO vs POL,Hard,4,D,51,491,109576.87
2018-M-DC-2018-G2-AO-M-THA-SRI-01,Davis Cup G2 R1: THA vs SRI,Clay,4,D,51,234,46624.62
2018-M-DC-2018-G2-EPA-M-TUN-FIN-01,Davis Cup G2 R1: TUN vs FIN,Hard,4,D,51,532,103687.35
2018-M-DC-2018-G2-EPA-M-TUR-ZIM-01,Davis Cup G2 R1: TUR vs ZIM,Hard,4,D,51,373,69994.6
2018-M-DC-2018-G2-AM-M-VEN-GUA-01,Davis Cup G2 R1: VEN vs GUA,Hard,4,D,51,421,78864.64
2018-0375,Montpellier,Hard,32,A,52,3686,818569.48
2018-7161,Quito,Clay,32,A,52,3340,675776.65
2018-7434,Sofia,Hard,32,A,52,3027,490046.5
2018-0506,Buenos Aires,Clay,32,A,53,3081,693203.33
2018-0424,New York,Hard,32,A,53,4181,1102491.53
2018-0407,Rotterdam,Hard,32,A,53,3634,644339.02
2018-0499,Delray Beach,Hard,32,A,54,3118,630324.2
2018-0496,Marseille,Hard,32,A,54,3620,645356.89
2018-6932,Rio de Janeiro,Clay,32,A,54,3003,634461.02
2018-M004,Acapulco,Hard,32,A,55,4113,867654.47
2018-0495,Dubai,Hard,32,A,55,4743,906337.38
2018-0533,Sao Paulo,Clay,32,A,55,3085,640732.47
2018-M006,Indian Wells Masters,Hard,128,M,56,12311,1440594.0
2018-M007,Miami Masters,Hard,128,M,57,13375,3601609.54
2018-M-DC-2018-G1-AM-M-ARG-CHI-01,Davis Cup G1 R2: ARG vs CHI,Clay,4,D,58,426,85412.09
2018-M-DC-2018-G1-EPA-M-AUT-RUS-01,Davis Cup G1 R2: AUT vs RUS,Hard,4,D,58,391,80387.45
2018-M-DC-2018-G1-EPA-M-BIH-SVK-01,Davis Cup G1 R2: BIH vs SVK,Clay,4,D,58,475,88199.99
2018-M-DC-2018-G1-AM-M-COL-BRA-01,Davis Cup G1 R2: COL vs BRA,Hard,4,D,58,419,83736.32
2018-M-DC-2018-G1-EPA-M-CZE-ISR-01,Davis Cup G1 R2: CZE vs ISR,Clay,4,D,58,458,88340.52
2018-M-DC-2018-G1-AO-M-IND-CHN-01,Davis Cup G1 R2: IND vs CHN,Hard,4,D,58,324,59791.04
2018-M-DC-2018-G1-AO-M-PAK-UZB-01,Davis Cup G1 R2: PAK vs UZB,Grass,4,D,58,491,100012.46
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,Davis Cup G1 R2: POR vs SWE,Hard,4,D,58,519,100304.43
2018-M-DC-2018-WG-M-ESP-GER-01,Davis Cup WG QF: ESP vs GER,Clay,4,D,58,412,80260.55
2018-M-DC-2018-WG-M-FRA-ITA-01,Davis Cup WG QF: FRA vs ITA,Clay,4,D,58,333,67159.78
2018-M-DC-2018-WG-M-KAZ-CRO-01,Davis Cup WG QF: KAZ vs CRO,Clay,4,D,58,274,52625.37
2018-M-DC-2018-WG-M-USA-BEL-01,Davis Cup WG QF: USA vs BEL,Hard,4,D,58,410,78257.44
2018-M-DC-2018-G2-EPA-M-EGY-DEN-01,Davis Cup G2 R2: EGY vs DEN,Hard,4,D,59,396,79565.28
2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,Davis Cup G2 R2: FIN vs LTU,Hard,4,D,59,432,87113.19
2018-M-DC-2018-G2-AO-M-HKG-LBN-01,Davis Cup G2 R2: HKG vs LBN,Hard,4,D,59,436,88631.46
2018-M-DC-2018-G2-AM-M-MEX-PER-01,Davis Cup G2 R2: MEX vs PER,Hard,4,D,59,563,108515.07
2018-M-DC-2018-G2-EPA-M-POL-ZIM-01,Davis Cup G2 R2: POL vs ZIM,Hard,4,D,59,363,78404.35
2018-M-DC-2018-G2-EPA-M-ROU-MAR-01,Davis Cup G2 R2: ROU vs MAR,Hard,4,D,59,419,86193.23
2018-M-DC-2018-G2-AO-M-THA-PHI-01,Davis Cup G2 R2: THA vs PHI,Clay,4,D,59,278,56010.75
2018-M-DC-2018-G2-AM-M-VEN-URU-01,Davis Cup G2 R2: VEN vs URU,Clay,4,D,59,416,86856.62
2018-0717,Houston,Clay,32,A,60,4134,640731.51
2018-0360,Marrakech,Clay,32,A,60,4975,1076272.11
2018-0410,Monte Carlo Masters,Clay,64,M,61,6671,1674385.39
2018-0425,Barcelona,Clay,64,A,62,5612,1082305.46
2018-7648,Budapest,Clay,32,A,62,3976,969609.76
2018-7290,Estoril,Clay,32,A,63,2814,517128.13
2018-7163,Istanbul,Clay,32,A,63,3063,677559.12
2018-0308,Munich,Clay,32,A,63,3578,717180.95
2018-M021,Madrid Masters,Clay,64,M,64,8052,1787950.47
2018-M009,Rome Masters,Clay,64,M,65,8346,1618264.0
2018-0322,Geneva,Clay,32,A,66,3325,802963.97
2018-7694,Lyon,Clay,32,A,66,3791,688541.6
2018-520,Roland Garros,Clay,128,G,67,15269,2154203.3
2018-M010,s Hertogenbosch,Grass,32,A,68,3199,763471.28
2018-0321,Stuttgart,Grass,32,A,68,2600,486782.03
2018-0500,Halle,Grass,32,A,69,3509,627829.28
2018-0311,Queen's Club,Grass,32,A,69,2924,521107.46
2018-7650,Antalya,Grass,32,A,70,2865,648173.83
2018-M016,Eastbourne,Grass,32,A,70,5119,840513.24
2018-540,Wimbledon,Grass,128,G,71,15979,3761778.69
2018-0316,Bastad,Clay,32,A,72,3684,670848.87
2018-0315,Newport,Grass,32,A,72,4300,1042468.28
2018-0439,Umag,Clay,32,A,72,3860,553049.23
2018-6116,Atlanta,Hard,32,A,73,2447,505775.49
2018-0314,Gstaad,Clay,32,A,73,1506,327165.29
2018-0414,Hamburg,Clay,32,A,73,3121,645332.51
2018-7480,Los Cabos,Hard,32,A,74,3627,654685.03
2018-0319,Kitzbuhel,Clay,32,A,74,2690,472559.62
2018-M035,Washington,Hard,64,A,74,3056,488110.86
2018-0421,Canada Masters,Hard,64,M,75,5628,1191762.82
2018-M024,Cincinnati Masters,Hard,64,M,76,5852,1426858.92
2018-6242,Winston-Salem,Hard,64,A,77,8311,1593479.98
2018-560,US Open,Hard,128,G,78,12812,2492498.29
2018-M-DC-2018-G2-EPA-M-EGY-FIN-01,Davis Cup G2 R3: EGY vs FIN,Clay,4,D,79,483,97939.06
2018-M-DC-2018-WG-PO-ARG-COL-01,Davis Cup WG PO: ARG vs COL,Clay,4,D,79,403,81773.09
2018-M-DC-2018-WG-PO-AUT-AUS-01,Davis Cup WG PO: AUT vs AUS,Clay,4,D,79,503,97698.89
2018-M-DC-2018-WG-PO-CAN-NED-01,Davis Cup WG PO: CAN vs NED,Hard,4,D,79,431,88900.96
2018-M-DC-2018-WG-PO-GBR-UZB-01,Davis Cup WG PO: GBR vs UZB,Hard,4,D,79,389,76863.83
2018-M-DC-2018-WG-PO-HUN-CZE-01,Davis Cup WG PO: HUN vs CZE,Clay,4,D,79,371,69362.45
2018-M-DC-2018-WG-PO-JPN-BIH-01,Davis Cup WG PO: JPN vs BIH,Hard,4,D,79,476,95798.04
2018-M-DC-2018-WG-PO-SRB-IND-01,Davis Cup WG PO: SRB vs IND,Clay,4,D,79,441,89799.77
2018-M-DC-2018-WG-PO-SUI-SWE-01,Davis Cup WG PO: SUI vs SWE,Hard,4,D,79,471,93121.27
2018-M-DC-2018-WG-M-CRO-USA-01,Davis Cup WG SF: CRO vs USA,Clay,4,D,79,482,100367.99
2018-M-DC-2018-WG-M-FRA-ESP-01,Davis Cup WG SF: FRA vs ESP,Hard,4,D,79,470,89152.74
2018-M-DC-2018-G2-EPA-M-ROU-POL-01,Davis Cup G2 R3: ROU vs POL,Clay,4,D,80,350,71162.92
2018-M-DC-2018-G2-AO-M-THA-LBN-01,Davis Cup G2 R3: THA vs LBN,Hard,4,D,80,352,68449.92
2018-M-DC-2018-G2-AM-M-URU-MEX-01,Davis Cup G2 R3: URU vs MEX,Clay,4,D,80,377,73309.69
2018-0341,Metz,Hard,32,A,81,4017,782344.76
2018-0568,St. Petersburg,Hard,32,A,81,3213,648250.1
2018-7581,Chengdu,Hard,32,A,82,3177,531009.95
2018-6967,Shenzhen,Hard,32,A,82,1755,328313.45
2018-M015,Beijing,Hard,32,A,83,6343,1078754.2
2018-0329,Tokyo,Hard,32,A,83,4174,738131.2
2018-5014,Shanghai Masters,Hard,64,M,84,3898,691763.85
2018-7485,Antwerp,Hard,32,A,85,2443,579627.74
2018-M014,Moscow,Hard,32,A,85,3295,927243.32
2018-0429,Stockholm,Hard,32,A,85,3050,714174.41
2018-0328,Basel,Hard,32,A,86,3355,728942.32
2018-0337,Vienna,Hard,32,A,86,1941,405983.91
2018-0352,Paris Masters,Hard,64,M,87,3920,634465.72
2018-7696,ATP Next Gen Finals,Hard,8,F,88,447,87559.1
2018-0605,Tour Finals,Hard,8,F,89,876,192794.01
2018-M-DC-2018-WG-M-FRA-CRO-01,Davis Cup WG F: FRA vs CRO,Clay,4,D,90,402,75921.21
2017-1059,Taipei,Hard,32,C,91,3535,638954.72
2017-1072,Limoges,Hard,32,C,92,2790,470979.19
2017-1083,Dalian,Hard,32,C,93,3780,766473.92
2017-1084,Hua Hin,Hard,32,C,92,4217,744207.59
2017-1095,Honolulu,Hard,32,C,94,3745,847184.01
2017-1100,Mumbai,Hard,32,C,94,2738,607207.89
2017-W-WITF-ARG-01A-2017,Benavides $15K,Hard,32,15,95,2057,393459.17
2017-W-WITF-ARG-02A-2017,Villa del Dique $15K,Clay,32,15,96,2725,617014.64
2017-W-WITF-ARG-03A-2017,Buenos Aires $15K,Clay,32,15,97,2736,453641.65
2017-W-WITF-ARG-04A-2017,Villa del Dique $15K,Clay,32,15,98,2722,586927.36
2017-W-WITF-ARG-05A-2017,Buenos Aires $15K,Clay,32,15,99,2952,517999.01
2017-W-WITF-AUS-01A-2017,Perth $25K,Hard,32,25,100,3321,776941.61
2017-W-WITF-AUS-01C-2017,Burnie $60K,Hard,32,60,101,2751,639879.39
2017-W-WITF-AUS-02A-2017,Perth $25K,Hard,32,25,102,3017,668628.65
2017-W-WITF-AUS-02B-2017,Launceston $60K,Hard,32,60,103,4144,813894.24
2017-W-WITF-AUS-03A-2017,Clare $25K,Hard,32,25,104,2956,556827.8
2017-W-WITF-AUS-04A-2017,Mildura $25K,Grass,32,25,105,3620,615552.23
2017-W-WITF-AUS-05A-2017,Mornington $25K,Clay,32,25,106,2379,426452.99
2017-W-WITF-AUS-06A-2017,Mornington $25K,Clay,32,25,107,3881,555089.28
2017-W-WITF-AUS-07A-2017,Canberra $60K,Hard,32,60,108,2000,462378.15
2017-W-WITF-AUS-08A-2017,Bendigo $60K,Hard,32,60,92,3764,623600.77
2017-W-WITF-AUS-09A-2017,Penrith $25K,Hard,32,25,109,3190,565595.04
2017-W-WITF-AUS-10A-2017,Brisbane $25K,Hard,32,25,110,2873,531279.53
2017-W-WITF-AUS-11A-2017,Toowoomba $25K,Hard,32,25,98,3899,749044.03
2017-W-WITF-AUS-12A-2017,Cairns $25K,Hard,32,25,99,3923,739293.74
2017-W-WITF-AUT-01A-2017,Vienna $15K,Clay,32,15,111,4245,953308.88
2017-W-WITF-AUT-02A-2017,Graz $15K,Clay,32,15,112,2693,622408.01
2017-W-WITF-BEL-01A-2017,Brussels $15K,Clay,32,15,113,2748,575913.45
2017-W-WITF-BEL-02A-2017,Knokke $15K,Clay,32,15,114,3467,736411.44
2017-W-WITF-BEL-03A-2017,De Haan $15K,Clay,32,15,115,3467,593403.99
2017-W-WITF-BEL-04A-2017,Koksijde $25K,Clay,32,25,111,2667,533942.94
2017-W-WITF-BEL-05A-2017,Wanfercee Baulet $15K,Clay,32,15,116,3547,557904.12
2017-W-WITF-BEL-06A-2017,Middelkerke $15K,Clay,32,15,117,2892,494574.67
2017-W-WITF-BIH-01A-2017,Banja Luka $15K,Clay,32,15,118,3315,820580.57
