date_id,year,month,day,quarter
222,2021,3,15,1
223,2021,3,22,1
224,2021,4,5,2
225,2021,4,12,2
226,2021,4,19,2
227,2021,4,26,2
228,2021,5,3,2
229,2021,5,10,2
230,2021,5,17,2
231,2021,5,24,2
232,2021,5,31,2
233,2021,6,7,2
234,2021,6,14,2
235,2021,6,21,2
236,2021,6,28,2
237,2021,7,12,3
238,2021,7,19,3
239,2021,7,26,3
240,2021,7,24,3
241,2021,8,2,3
242,2021,8,9,3
243,2021,8,16,3
244,2021,8,23,3
245,2017,10,31,4
246,2017,2,9,1
247,2017,2,10,1
248,2017,2,11,1
249,2017,7,20,3
250,2017,7,21,3
251,2017,7,19,3
252,2017,7,22,3
253,2017,4,21,2
254,2017,4,22,2
255,2017,11,11,4
256,2016,2,3,1
257,2016,2,4,1
258,2016,2,5,1
259,2016,2,6,1
260,2016,2,2,1
261,2016,4,12,2
262,2016,4,15,2
263,2016,4,13,2
264,2016,4,14,2
265,2016,4,16,2
266,2016,11,12,4
267,2018,9,10,3
268,2018,4,2,2
269,2018,1,29,1
270,2018,2,9,1
271,2018,2,8,1
272,2018,2,7,1
273,2018,2,10,1
274,2018,6,20,2
275,2018,6,21,2
276,2018,6,22,2
277,2018,6,23,2
278,2018,7,19,3
279,2018,7,20,3
280,2018,7,18,3
281,2018,7,21,3
282,2018,2,6,1
283,2018,4,18,2
284,2018,4,20,2
285,2018,4,19,2
286,2018,4,21,2
287,2018,11,10,4
288,2020,1,27,1
289,2020,3,2,1
290,2020,3,9,1
291,2020,8,17,3
292,2020,10,5,4
293,2020,11,23,4
294,2020,11,30,4
295,2021,1,10,1
296,2021,1,17,1
297,2021,1,24,1
298,2021,1,31,1
299,2021,2,7,1
300,2021,2,14,1
301,2021,3,29,1
302,2021,7,5,3
303,2019,9,9,3
304,2019,4,1,2
305,2019,12,16,4
306,2019,10,22,4
307,2019,1,28,1
308,2019,6,3,2
309,2019,1,21,1
310,2019,2,8,1
311,2019,2,6,1
312,2019,2,7,1
313,2019,2,9,1
314,2019,4,18,2
315,2019,4,19,2
316,2019,4,17,2
317,2019,4,20,2
318,2019,4,16,2
319,2019,11,9,4
320,2021,1,6,1
321,2021,2,3,1
322,2021,2,13,1
323,2021,3,7,1
324,2021,4,29,2
325,2021,4,17,2
326,2019,7,8,3
327,2019,11,4,4
328,2019,9,2,3
329,2019,3,25,1
330,2019,3,11,1
331,2018,3,26,1
332,2018,7,9,3
333,2018,6,4,2
334,2018,9,3,3
335,2018,1,22,1
336,2018,3,12,1
337,2018,11,19,4
338,2020,8,3,3
339,2020,8,10,3
340,2020,2,5,1
341,2020,2,7,1
342,2020,2,6,1
343,2020,2,8,1
344,2020,3,4,1
345,2020,3,3,1
346,2020,3,7,1
347,2020,3,5,1
348,2020,2,4,1
349,2018,6,5,2
350,2018,12,3,4
351,2018,11,26,4
352,2018,12,10,4
353,2018,12,17,4
354,2019,11,25,4
355,2019,12,2,4
356,2019,12,9,4
357,2019,12,30,4
358,2016,3,4,1
359,2016,7,15,3
360,2016,9,16,3
361,2016,11,25,4
362,2017,2,3,1
363,2017,2,17,1
364,2017,4,7,2
365,2017,9,15,3
366,2017,11,24,4
367,2021,1,11,1
368,2021,1,18,1
369,2021,1,25,1
370,2021,2,15,1
371,2020,12,7,4
372,2020,12,14,4
373,2020,12,21,4
374,2020,12,28,4
